0 , 26.4497, 542 , 31 , 0
156 , 23.3259, 601 , 40 , 59
288 , 22.1773, 616 , 51 , 74
858 , 21.7893, 809 , 107 , 267
895 , 18.2581, 827 , 110 , 285
981 , 16.9543, 859 , 116 , 317
1037 , 15.2731, 883 , 122 , 341
1435 , 8.22552, 979 , 161 , 437
5600 , 7.32825, 1200 , 277 , 658
5857 , 7.02813, 1257 , 299 , 715
