0 , 30.8148, 44 , 22
0 , 23.944, 78 , 27
1 , 22.6161, 124 , 29
2 , 19.215, 185 , 39
2 , 17.3922, 186 , 35
27 , 14.746, 1955 , 170
140 , 14.6865, 13852 , 646
157 , 13.7619, 15208 , 708
455 , 13.7536, 41099 , 1444
962 , 13.5385, 73293 , 2310
1227 , 13.388, 86569 , 2679
1348 , 13.2389, 93975 , 2837
1545 , 12.0452, 106997 , 3096
8207 , 11.8901, 641079 , 7322
10009 , 11.7295, 762311 , 8155
12712 , 11.6778, 945431 , 9272
14832 , 11.6601, 1081087 , 10055
22301 , 11.5225, 1512809 , 12493
29704 , 11.3795, 1932640 , 14517
