0 , 30.8148, 44 , 22
0 , 23.7197, 59 , 29
0 , 22.7549, 63 , 29
1 , 22.3975, 80 , 36
13 , 20.9344, 230 , 103
20 , 18.589, 297 , 134
23 , 16.2734, 332 , 149
43 , 15.4227, 517 , 257
79 , 14.6614, 817 , 414
85 , 14.5676, 863 , 438
1428 , 14.1469, 5266 , 2902
5742 , 14.1358, 12017 , 6658
6293 , 13.4897, 12675 , 7020
6782 , 13.4351, 13215 , 7289
7168 , 13.4214, 13608 , 7511
8921 , 12.9588, 15404 , 8424
10483 , 12.7992, 17024 , 9179
13654 , 12.7945, 20027 , 10526
17487 , 12.4714, 23347 , 11988
20592 , 12.1365, 25833 , 13054
