0 , 24.345, 183 , 178 , 0
0 , 22.9133, 185 , 142 , 2
0 , 22.8993, 187 , 112 , 4
0 , 20.3791, 194 , 119 , 11
0 , 20.1876, 196 , 62 , 13
1 , 20.0243, 216 , 80 , 33
3 , 19.7519, 255 , 119 , 72
4 , 19.4181, 268 , 132 , 85
7 , 18.5857, 312 , 176 , 129
14 , 18.5857, 406 , 250 , 223
16 , 17.0155, 422 , 266 , 239
25 , 16.0936, 526 , 356 , 343
43 , 16.0936, 676 , 500 , 493
48 , 15.1044, 716 , 540 , 533
81 , 15.1044, 927 , 750 , 744
124 , 14.9492, 1146 , 969 , 963
130 , 14.9492, 1177 , 1000 , 994
192 , 14.9492, 1427 , 1250 , 1244
263 , 14.9492, 1677 , 1500 , 1494
345 , 14.9492, 1927 , 1750 , 1744
439 , 14.9492, 2177 , 2000 , 1994
543 , 14.9492, 2427 , 2250 , 2244
660 , 14.9492, 2677 , 2500 , 2494
786 , 14.9492, 2927 , 2750 , 2744
923 , 14.9492, 3177 , 3000 , 2994
1071 , 14.9492, 3427 , 3250 , 3244
1232 , 14.9492, 3677 , 3500 , 3494
1403 , 14.9492, 3927 , 3750 , 3744
1585 , 14.9492, 4177 , 4000 , 3994
1777 , 14.9492, 4427 , 4250 , 4244
1897 , 13.9591, 4576 , 4399 , 4393
1982 , 13.9591, 4678 , 4500 , 4495
2196 , 13.9591, 4928 , 4750 , 4745
2425 , 13.9591, 5178 , 5000 , 4995
2663 , 13.9591, 5428 , 5250 , 5245
2913 , 13.9591, 5678 , 5500 , 5495
3172 , 13.9591, 5928 , 5750 , 5745
3447 , 13.9591, 6178 , 6000 , 5995
3728 , 13.9591, 6428 , 6250 , 6245
4019 , 13.9591, 6678 , 6500 , 6495
4321 , 13.9591, 6928 , 6750 , 6745
4635 , 13.9591, 7178 , 7000 , 6995
4957 , 13.9591, 7428 , 7250 , 7245
5293 , 13.9591, 7678 , 7500 , 7495
5639 , 13.9591, 7928 , 7750 , 7745
5996 , 13.9591, 8178 , 8000 , 7995
6361 , 13.9591, 8428 , 8250 , 8245
6740 , 13.9591, 8678 , 8500 , 8495
7128 , 13.9591, 8928 , 8750 , 8745
7527 , 13.9591, 9178 , 9000 , 8995
7943 , 13.9591, 9428 , 9250 , 9245
8370 , 13.9591, 9678 , 9500 , 9495
8807 , 13.9591, 9928 , 9750 , 9745
9252 , 13.9591, 10178 , 10000 , 9995
9708 , 13.9591, 10428 , 10250 , 10245
10175 , 13.9591, 10678 , 10500 , 10495
10655 , 13.9591, 10928 , 10750 , 10745
11143 , 13.9591, 11178 , 11000 , 10995
11647 , 13.9591, 11428 , 11250 , 11245
12154 , 13.9591, 11678 , 11500 , 11495
12670 , 13.9591, 11928 , 11750 , 11745
13204 , 13.9591, 12178 , 12000 , 11995
13744 , 13.9591, 12428 , 12250 , 12245
14298 , 13.9591, 12678 , 12500 , 12495
14861 , 13.9591, 12928 , 12750 , 12745
15443 , 13.9591, 13178 , 13000 , 12995
16022 , 13.9591, 13428 , 13250 , 13245
16623 , 13.9591, 13678 , 13500 , 13495
17231 , 13.9591, 13928 , 13750 , 13745
17844 , 13.9591, 14178 , 14000 , 13995
18480 , 13.9591, 14428 , 14250 , 14245
19116 , 13.9591, 14678 , 14500 , 14495
19767 , 13.9591, 14928 , 14750 , 14745
20440 , 13.9591, 15178 , 15000 , 14995
21117 , 13.9591, 15428 , 15250 , 15245
21804 , 13.9591, 15678 , 15500 , 15495
22512 , 13.9591, 15928 , 15750 , 15745
23224 , 13.9591, 16178 , 16000 , 15995
23970 , 13.9591, 16428 , 16250 , 16245
24718 , 13.9591, 16678 , 16500 , 16495
25455 , 13.9591, 16928 , 16750 , 16745
26194 , 13.9591, 17178 , 17000 , 16995
26959 , 13.9591, 17428 , 17250 , 17245
27738 , 13.9591, 17678 , 17500 , 17495
28511 , 13.9591, 17928 , 17750 , 17745
29297 , 13.9591, 18178 , 18000 , 17995
30092 , 13.9591, 18428 , 18250 , 18245
30909 , 13.9591, 18678 , 18500 , 18495
31738 , 13.9591, 18928 , 18750 , 18745
32573 , 13.9591, 19178 , 19000 , 18995
33416 , 13.9591, 19428 , 19250 , 19245
34274 , 13.9591, 19678 , 19500 , 19495
35136 , 13.9591, 19928 , 19750 , 19745
36002 , 13.9591, 20178 , 20000 , 19995
36889 , 13.9591, 20428 , 20250 , 20245
37798 , 13.9591, 20678 , 20500 , 20495
38711 , 13.9591, 20928 , 20750 , 20745
39635 , 13.9591, 21178 , 21000 , 20995
40582 , 13.9591, 21428 , 21250 , 21245
41533 , 13.9591, 21678 , 21500 , 21495
42502 , 13.9591, 21928 , 21750 , 21745
43474 , 13.9591, 22178 , 22000 , 21995
44467 , 13.9591, 22428 , 22250 , 22245
