0 , 30.8148, 44 , 22
4 , 23.8742, 95 , 45
12 , 22.8381, 141 , 71
67 , 22.2863, 323 , 148
68 , 20.5101, 324 , 149
70 , 19.4466, 327 , 152
71 , 19.0388, 328 , 153
72 , 18.3916, 330 , 155
73 , 17.5156, 331 , 156
77 , 16.8133, 335 , 160
280 , 16.5598, 666 , 312
295 , 16.4368, 675 , 321
919 , 16.3903, 1056 , 560
926 , 15.6534, 1058 , 562
930 , 15.3578, 1059 , 563
1055 , 15.1886, 1121 , 598
2547 , 15.1094, 1696 , 915
2554 , 15.0652, 1697 , 916
2568 , 14.6848, 1699 , 918
2575 , 14.0663, 1700 , 919
11525 , 13.5463, 3209 , 1877
11589 , 13.2832, 3214 , 1882
11672 , 13.2573, 3220 , 1888
47811 , 12.3741, 6292 , 3672
47922 , 11.4454, 6296 , 3676
