0 , 30.8148, 44 , 22
40 , 24.1876, 285 , 108
62 , 21.2975, 321 , 130
63 , 19.3743, 323 , 131
94 , 19.2483, 405 , 165
96 , 18.3394, 407 , 167
108 , 18.3128, 439 , 178
113 , 18.0267, 445 , 183
257 , 17.7466, 619 , 287
259 , 17.4454, 620 , 288
260 , 17.1299, 621 , 289
747 , 16.4804, 1042 , 494
2622 , 16.1414, 1593 , 908
4580 , 13.7925, 2012 , 1186
16641 , 13.7486, 3709 , 2180
18554 , 13.6908, 3848 , 2289
18816 , 13.5918, 3863 , 2304
41638 , 12.9356, 5515 , 3325
41665 , 12.8858, 5516 , 3326
41692 , 12.2997, 5517 , 3327
106946 , 12.152, 9132 , 5245
