0 , 30.8148, 44 , 22
4 , 25.3688, 104 , 41
11 , 25.1742, 147 , 63
22 , 23.4386, 225 , 89
68 , 22.3604, 398 , 151
72 , 20.41, 401 , 154
177 , 20.4003, 593 , 243
179 , 19.1785, 597 , 244
186 , 18.8891, 615 , 249
187 , 18.0565, 616 , 250
726 , 16.9863, 1015 , 499
819 , 16.7531, 1083 , 529
822 , 16.6927, 1084 , 530
839 , 15.7222, 1089 , 535
843 , 15.5764, 1090 , 536
846 , 15.2657, 1091 , 537
6127 , 14.4838, 2465 , 1397
6136 , 13.9936, 2466 , 1398
6229 , 13.7591, 2477 , 1408
15391 , 13.652, 3759 , 2166
36170 , 13.3009, 5416 , 3235
36193 , 13.2026, 5417 , 3236
108290 , 12.4943, 9196 , 5443
108333 , 12.4266, 9197 , 5444
108417 , 11.9364, 9199 , 5446
