0 , 24.345, 183 , 178
11 , 20.9276, 247 , 141
13 , 18.9892, 248 , 59
75 , 17.6193, 249 , 35
137 , 15.736, 334 , 109
208 , 15.0333, 335 , 98
533 , 15.0333, 487 , 250
666 , 14.0139, 567 , 330
1995 , 13.6153, 672 , 412
2774 , 13.6153, 760 , 500
6440 , 13.5113, 925 , 665
7135 , 13.46, 1009 , 749
7135 , 13.46, 1010 , 750
10429 , 13.46, 1269 , 1000
14967 , 13.46, 1528 , 1250
20015 , 13.46, 1778 , 1500
23331 , 13.46, 2028 , 1750
26308 , 13.46, 2278 , 2000
27377 , 13.0188, 2374 , 2096
31167 , 13.0188, 2531 , 2250
36389 , 13.0188, 2811 , 2500
37178 , 12.6014, 2837 , 2526
