0 , 24.345, 183 , 178 , 0
9 , 23.3166, 184 , 141 , 1
55 , 21.0672, 193 , 150 , 10
473 , 21.0672, 372 , 250 , 189
1038 , 21.0672, 622 , 500 , 439
1851 , 21.0672, 872 , 750 , 689
2913 , 21.0672, 1122 , 1000 , 939
4223 , 21.0672, 1372 , 1250 , 1189
5775 , 21.0672, 1622 , 1500 , 1439
7578 , 21.0672, 1872 , 1750 , 1689
9626 , 21.0672, 2122 , 2000 , 1939
10661 , 20.4114, 2195 , 2073 , 2012
10709 , 16.9731, 2196 , 2074 , 2013
12857 , 16.9731, 2418 , 2250 , 2235
15506 , 16.9731, 2668 , 2500 , 2485
18402 , 16.9731, 2918 , 2750 , 2735
21547 , 16.9731, 3168 , 3000 , 2985
24936 , 16.9731, 3418 , 3250 , 3235
28578 , 16.9731, 3668 , 3500 , 3485
32461 , 16.9731, 3918 , 3750 , 3735
36604 , 16.9731, 4168 , 4000 , 3985
41305 , 16.9731, 4418 , 4250 , 4235
