0 , 24.345, 183 , 178 , 0
318 , 24.345, 293 , 250 , 110
897 , 24.345, 543 , 500 , 360
1989 , 23.7776, 988 , 744 , 805
2331 , 17.3578, 1190 , 745 , 1007
4337 , 15.0495, 1191 , 624 , 1008
4573 , 15.0495, 1278 , 500 , 1095
9426 , 15.0495, 1528 , 750 , 1345
10779 , 15.0495, 1778 , 1000 , 1595
16148 , 15.0495, 2028 , 1250 , 1845
19145 , 15.0495, 2479 , 1500 , 2296
29150 , 14.9413, 2598 , 1619 , 2415
30161 , 14.9413, 2729 , 1750 , 2546
33676 , 14.9413, 2979 , 2000 , 2796
44538 , 14.9413, 3229 , 2250 , 3046
