0 , 24.345, 183 , 178 , 0
7 , 24.0707, 189 , 146 , 6
11 , 22.9897, 192 , 149 , 9
13 , 18.8035, 194 , 120 , 11
129 , 18.7656, 329 , 176 , 146
149 , 18.6116, 346 , 193 , 163
226 , 18.6116, 403 , 250 , 220
368 , 16.348, 490 , 337 , 307
408 , 14.497, 510 , 337 , 327
767 , 14.497, 676 , 500 , 493
1523 , 14.497, 926 , 750 , 743
2535 , 14.497, 1176 , 1000 , 993
3805 , 14.497, 1426 , 1250 , 1243
5334 , 14.497, 1676 , 1500 , 1493
7118 , 14.497, 1926 , 1750 , 1743
9162 , 14.497, 2176 , 2000 , 1993
11461 , 14.497, 2426 , 2250 , 2243
14023 , 14.497, 2676 , 2500 , 2493
16590 , 13.5191, 2903 , 2727 , 2720
16908 , 13.5191, 2929 , 2750 , 2746
19982 , 13.5191, 3179 , 3000 , 2996
23317 , 13.5191, 3429 , 3250 , 3246
26906 , 13.5191, 3679 , 3500 , 3496
30762 , 13.5191, 3929 , 3750 , 3746
34859 , 13.5191, 4179 , 4000 , 3996
39217 , 13.5191, 4429 , 4250 , 4246
43836 , 13.5191, 4679 , 4500 , 4496
