0 , 30.8148, 44 , 22
10 , 26.2229, 175 , 59
14 , 26.2164, 193 , 68
15 , 20.5565, 195 , 70
56 , 20.1, 308 , 143
60 , 20.0137, 332 , 147
72 , 19.65, 354 , 157
75 , 19.2972, 356 , 159
76 , 19.2463, 357 , 160
78 , 18.9756, 358 , 161
183 , 18.5131, 496 , 253
274 , 16.931, 625 , 309
286 , 16.3322, 631 , 315
293 , 15.9466, 634 , 318
407 , 14.7117, 724 , 371
409 , 14.2494, 727 , 372
411 , 13.3615, 728 , 373
1164 , 12.4859, 1233 , 628
1168 , 11.7879, 1234 , 629
1187 , 11.6018, 1239 , 634
1191 , 11.5277, 1240 , 635
44256 , 10.183, 8491 , 3551
