0 , 30.8148, 44 , 22
1 , 28.8497, 53 , 27
4 , 27.2258, 72 , 38
4 , 25.7414, 77 , 41
5 , 24.3118, 79 , 42
40 , 23.8273, 195 , 121
41 , 23.5488, 208 , 122
49 , 23.3588, 229 , 132
60 , 23.3415, 299 , 146
86 , 22.4073, 364 , 170
89 , 20.3186, 367 , 173
110 , 19.5911, 405 , 192
111 , 19.5536, 406 , 193
112 , 19.3956, 407 , 194
114 , 19.1805, 409 , 196
146 , 18.3875, 524 , 224
220 , 18.1873, 589 , 278
222 , 17.7632, 590 , 279
277 , 17.3226, 656 , 310
602 , 16.3536, 991 , 444
610 , 13.8882, 997 , 447
5430 , 13.8532, 2470 , 1298
14287 , 13.0995, 3629 , 2039
14385 , 12.8048, 3636 , 2046
27367 , 11.8356, 4992 , 2791
92674 , 10.7881, 10264 , 4980
