0 , 24.345, 183 , 178 , 0
2 , 22.3292, 184 , 141 , 1
2 , 19.9924, 186 , 100 , 3
2 , 16.4743, 188 , 46 , 5
7 , 15.0029, 190 , 19 , 7
14 , 14.3154, 222 , 47 , 39
18 , 14.2469, 238 , 63 , 55
35 , 13.3786, 269 , 93 , 86
39 , 12.6763, 286 , 107 , 103
39 , 12.3712, 289 , 109 , 106
315 , 11.4067, 413 , 233 , 230
318 , 11.4067, 430 , 250 , 247
1528 , 11.4067, 680 , 500 , 497
4296 , 11.4067, 944 , 750 , 761
5798 , 11.4067, 1194 , 1000 , 1011
7549 , 11.4067, 1449 , 1250 , 1266
9055 , 11.4067, 1706 , 1500 , 1523
9265 , 10.6676, 1732 , 1525 , 1549
12990 , 10.6676, 1958 , 1750 , 1775
17500 , 10.6676, 2216 , 2000 , 2033
24834 , 10.6676, 2473 , 2250 , 2290
29906 , 10.6676, 2729 , 2500 , 2546
34046 , 10.6676, 2994 , 2750 , 2811
38126 , 10.6676, 3261 , 3000 , 3078
43211 , 10.6676, 3516 , 3250 , 3333
