0 , 24.345, 183 , 178
0 , 22.9728, 184 , 141
0 , 22.1621, 185 , 111
0 , 21.2543, 187 , 113
1 , 19.6322, 188 , 70
1 , 17.8156, 189 , 44
4 , 16.6096, 205 , 47
4 , 14.8229, 206 , 36
4 , 14.7069, 208 , 33
5 , 14.2389, 216 , 41
19 , 13.9598, 229 , 54
19 , 13.8509, 231 , 55
20 , 13.7284, 232 , 56
20 , 13.2469, 233 , 57
54 , 12.8563, 266 , 87
55 , 12.3619, 274 , 94
406 , 12.2942, 368 , 187
406 , 12.202, 371 , 190
407 , 11.2669, 372 , 191
798 , 11.2669, 431 , 250
3083 , 11.2669, 682 , 500
3783 , 11.069, 772 , 587
4960 , 11.0094, 831 , 640
6319 , 11.0094, 944 , 750
9906 , 11.0094, 1197 , 1000
12616 , 11.0094, 1465 , 1250
15020 , 11.0094, 1717 , 1500
17992 , 11.0094, 1969 , 1750
21412 , 11.0094, 2227 , 2000
24101 , 11.0094, 2490 , 2250
28138 , 11.0094, 2749 , 2500
28627 , 10.8811, 2785 , 2536
33167 , 10.8811, 3008 , 2750
37764 , 10.8811, 3261 , 3000
42853 , 10.8811, 3513 , 3250
