0 , 24.345, 183 , 178
0 , 20.1227, 186 , 143
0 , 14.2068, 188 , 48
1 , 13.8648, 234 , 21
1 , 12.5628, 239 , 24
12 , 12.5221, 624 , 132
12 , 12.2784, 628 , 133
29 , 12.2784, 996 , 250
29 , 12.2784, 997 , 250
29 , 11.9534, 1008 , 254
51 , 11.7567, 1372 , 369
81 , 11.7567, 1809 , 500
153 , 11.7567, 2642 , 750
153 , 11.7567, 2643 , 750
186 , 11.7102, 2984 , 845
246 , 11.6504, 3502 , 1000
246 , 11.6504, 3502 , 1000
246 , 11.6504, 3503 , 1000
246 , 11.6504, 3504 , 1000
246 , 11.6504, 3505 , 1000
246 , 11.6504, 3506 , 1000
358 , 11.6504, 4297 , 1250
482 , 11.1632, 5027 , 1481
495 , 11.1632, 5085 , 1500
495 , 11.1632, 5086 , 1500
650 , 11.1632, 5825 , 1750
826 , 11.1632, 6644 , 2000
1021 , 11.1632, 7434 , 2250
1021 , 11.1632, 7435 , 2250
1021 , 11.1632, 7436 , 2250
1021 , 11.1632, 7437 , 2250
1021 , 11.1632, 7438 , 2250
1240 , 11.1632, 8283 , 2500
1385 , 10.9905, 8760 , 2656
1477 , 10.9905, 9061 , 2750
1734 , 10.9905, 9843 , 3000
2011 , 10.9905, 10610 , 3250
2011 , 10.9905, 10611 , 3250
2308 , 10.9905, 11427 , 3500
2308 , 10.9905, 11428 , 3500
2308 , 10.9905, 11429 , 3500
2308 , 10.9905, 11430 , 3500
2308 , 10.9905, 11431 , 3500
2308 , 10.9905, 11432 , 3500
2308 , 10.9905, 11433 , 3500
2308 , 10.9905, 11434 , 3500
2308 , 10.9905, 11435 , 3500
2308 , 10.9905, 11436 , 3500
2622 , 10.9905, 12184 , 3750
2622 , 10.9905, 12185 , 3750
2622 , 10.9905, 12186 , 3750
2622 , 10.9905, 12187 , 3750
2957 , 10.9905, 12956 , 4000
2958 , 10.9905, 12957 , 4000
2958 , 10.9905, 12958 , 4000
3315 , 10.9905, 13731 , 4250
3315 , 10.9905, 13732 , 4250
3315 , 10.9905, 13733 , 4250
3315 , 10.9905, 13734 , 4250
3689 , 10.9905, 14579 , 4500
4085 , 10.9905, 15369 , 4750
4501 , 10.9905, 16184 , 5000
4937 , 10.9905, 16939 , 5250
4937 , 10.9905, 16940 , 5250
5372 , 10.7445, 17709 , 5489
5393 , 10.7445, 17736 , 5500
5393 , 10.7445, 17737 , 5500
5393 , 10.7445, 17738 , 5500
5868 , 10.7445, 18554 , 5750
5869 , 10.7445, 18555 , 5750
6363 , 10.7445, 19307 , 6000
6363 , 10.7445, 19308 , 6000
6363 , 10.7445, 19309 , 6000
6880 , 10.7445, 20106 , 6250
6880 , 10.7445, 20107 , 6250
7417 , 10.7445, 20943 , 6500
7418 , 10.7445, 20944 , 6500
7419 , 10.7445, 20945 , 6500
7419 , 10.7445, 20946 , 6500
7973 , 10.7445, 21705 , 6750
7973 , 10.7445, 21706 , 6750
8547 , 10.7445, 22508 , 7000
9142 , 10.7445, 23303 , 7250
9142 , 10.7445, 23304 , 7250
9142 , 10.7445, 23305 , 7250
9143 , 10.7445, 23306 , 7250
9759 , 10.7445, 24153 , 7500
